INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 	 Loss: 1.7886823415756226 	 train acc: tensor([16.6667], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 45 	 Loss: 1.7395234107971191 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([23.7228], device='cuda:0')
DEBUG:root:Epoch: 46 	 Loss: 1.7383357286453247 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.6870], device='cuda:0')
DEBUG:root:Epoch: 47 	 Loss: 1.7373791933059692 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.7585], device='cuda:0')
DEBUG:root:Epoch: 48 	 Loss: 1.7347266674041748 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.6870], device='cuda:0')
DEBUG:root:Epoch: 49 	 Loss: 1.7340974807739258 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.6870], device='cuda:0')
DEBUG:root:Epoch: 50 	 Loss: 1.7286615371704102 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([23.6513], device='cuda:0')
DEBUG:root:Epoch: 51 	 Loss: 1.7324767112731934 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([23.5798], device='cuda:0')
DEBUG:root:Epoch: 52 	 Loss: 1.728240966796875 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([23.6513], device='cuda:0')
DEBUG:root:Epoch: 53 	 Loss: 1.726670265197754 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.7585], device='cuda:0')
DEBUG:root:Epoch: 54 	 Loss: 1.725631833076477 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([23.8657], device='cuda:0')
DEBUG:root:Epoch: 55 	 Loss: 1.7245179414749146 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.7942], device='cuda:0')
DEBUG:root:Epoch: 56 	 Loss: 1.721730351448059 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.6870], device='cuda:0')
DEBUG:root:Epoch: 57 	 Loss: 1.7207164764404297 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([23.6870], device='cuda:0')
DEBUG:root:Epoch: 58 	 Loss: 1.721146821975708 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.5441], device='cuda:0')
DEBUG:root:Epoch: 59 	 Loss: 1.7178741693496704 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.4727], device='cuda:0')
DEBUG:root:Epoch: 60 	 Loss: 1.7167202234268188 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.5441], device='cuda:0')
DEBUG:root:Epoch: 61 	 Loss: 1.7151609659194946 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.5084], device='cuda:0')
DEBUG:root:Epoch: 62 	 Loss: 1.7113289833068848 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.4369], device='cuda:0')
DEBUG:root:Epoch: 63 	 Loss: 1.711243987083435 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.2940], device='cuda:0')
DEBUG:root:Epoch: 64 	 Loss: 1.7078821659088135 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.1154], device='cuda:0')
DEBUG:root:Epoch: 65 	 Loss: 1.7066751718521118 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.1511], device='cuda:0')
DEBUG:root:Epoch: 66 	 Loss: 1.7058203220367432 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.2583], device='cuda:0')
DEBUG:root:Epoch: 67 	 Loss: 1.703236699104309 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([22.9725], device='cuda:0')
DEBUG:root:Epoch: 68 	 Loss: 1.702057957649231 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([22.9010], device='cuda:0')
DEBUG:root:Epoch: 69 	 Loss: 1.6999527215957642 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([22.7939], device='cuda:0')
DEBUG:root:Epoch: 70 	 Loss: 1.6995031833648682 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([22.6509], device='cuda:0')
DEBUG:root:Epoch: 71 	 Loss: 1.6962617635726929 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([22.5795], device='cuda:0')
DEBUG:root:Epoch: 72 	 Loss: 1.6949381828308105 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([22.5795], device='cuda:0')
DEBUG:root:Epoch: 73 	 Loss: 1.6931277513504028 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([22.5080], device='cuda:0')
DEBUG:root:Epoch: 74 	 Loss: 1.6899110078811646 	 train acc: tensor([22.2222], device='cuda:0') 	 val acc: tensor([22.4723], device='cuda:0')
DEBUG:root:Epoch: 75 	 Loss: 1.6863389015197754 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([22.5080], device='cuda:0')
DEBUG:root:Epoch: 76 	 Loss: 1.688585877418518 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([22.4723], device='cuda:0')
DEBUG:root:Epoch: 77 	 Loss: 1.6853439807891846 	 train acc: tensor([23.0159], device='cuda:0') 	 val acc: tensor([22.4723], device='cuda:0')
DEBUG:root:Epoch: 78 	 Loss: 1.6829214096069336 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([22.3651], device='cuda:0')
DEBUG:root:Epoch: 79 	 Loss: 1.6814898252487183 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([22.2937], device='cuda:0')
DEBUG:root:Epoch: 80 	 Loss: 1.6794159412384033 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([22.2937], device='cuda:0')
DEBUG:root:Epoch: 81 	 Loss: 1.6759101152420044 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([22.2222], device='cuda:0')
DEBUG:root:Epoch: 82 	 Loss: 1.6749004125595093 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([22.1508], device='cuda:0')
DEBUG:root:Epoch: 83 	 Loss: 1.6727463006973267 	 train acc: tensor([22.2222], device='cuda:0') 	 val acc: tensor([22.1865], device='cuda:0')
DEBUG:root:Epoch: 84 	 Loss: 1.6709378957748413 	 train acc: tensor([23.0159], device='cuda:0') 	 val acc: tensor([22.1508], device='cuda:0')
DEBUG:root:Epoch: 85 	 Loss: 1.6704914569854736 	 train acc: tensor([23.0159], device='cuda:0') 	 val acc: tensor([22.1150], device='cuda:0')
DEBUG:root:Epoch: 86 	 Loss: 1.6675477027893066 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([22.0436], device='cuda:0')
DEBUG:root:Epoch: 87 	 Loss: 1.6679272651672363 	 train acc: tensor([23.0159], device='cuda:0') 	 val acc: tensor([21.9721], device='cuda:0')
DEBUG:root:Epoch: 88 	 Loss: 1.662382960319519 	 train acc: tensor([22.2222], device='cuda:0') 	 val acc: tensor([21.8650], device='cuda:0')
DEBUG:root:Epoch: 89 	 Loss: 1.6633390188217163 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([21.7935], device='cuda:0')
DEBUG:root:Epoch: 90 	 Loss: 1.6599761247634888 	 train acc: tensor([23.0159], device='cuda:0') 	 val acc: tensor([21.7935], device='cuda:0')
DEBUG:root:Epoch: 91 	 Loss: 1.6579742431640625 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([21.7220], device='cuda:0')
DEBUG:root:Epoch: 92 	 Loss: 1.6566615104675293 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([21.6863], device='cuda:0')
DEBUG:root:Epoch: 93 	 Loss: 1.6561957597732544 	 train acc: tensor([22.2222], device='cuda:0') 	 val acc: tensor([21.6863], device='cuda:0')
DEBUG:root:Epoch: 94 	 Loss: 1.6534849405288696 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([21.5791], device='cuda:0')
DEBUG:root:Epoch: 95 	 Loss: 1.651127815246582 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([21.5791], device='cuda:0')
DEBUG:root:Epoch: 96 	 Loss: 1.6475272178649902 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([21.4720], device='cuda:0')
DEBUG:root:Epoch: 97 	 Loss: 1.6480998992919922 	 train acc: tensor([20.6349], device='cuda:0') 	 val acc: tensor([21.4005], device='cuda:0')
DEBUG:root:Epoch: 98 	 Loss: 1.6447993516921997 	 train acc: tensor([20.6349], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 99 	 Loss: 1.6446176767349243 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([21.2933], device='cuda:0')
DEBUG:root:Epoch: 100 	 Loss: 1.6433703899383545 	 train acc: tensor([19.8413], device='cuda:0') 	 val acc: tensor([21.2933], device='cuda:0')
DEBUG:root:Epoch: 101 	 Loss: 1.6398059129714966 	 train acc: tensor([22.2222], device='cuda:0') 	 val acc: tensor([21.2576], device='cuda:0')
DEBUG:root:Epoch: 102 	 Loss: 1.6378594636917114 	 train acc: tensor([19.0476], device='cuda:0') 	 val acc: tensor([21.1504], device='cuda:0')
DEBUG:root:Epoch: 103 	 Loss: 1.6395413875579834 	 train acc: tensor([19.8413], device='cuda:0') 	 val acc: tensor([21.2219], device='cuda:0')
DEBUG:root:Epoch: 104 	 Loss: 1.635836124420166 	 train acc: tensor([19.0476], device='cuda:0') 	 val acc: tensor([21.1861], device='cuda:0')
DEBUG:root:Epoch: 105 	 Loss: 1.634744644165039 	 train acc: tensor([19.8413], device='cuda:0') 	 val acc: tensor([21.2219], device='cuda:0')
DEBUG:root:Epoch: 106 	 Loss: 1.6331143379211426 	 train acc: tensor([20.6349], device='cuda:0') 	 val acc: tensor([35.2983], device='cuda:0')
DEBUG:root:Epoch: 107 	 Loss: 1.627935528755188 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([35.5127], device='cuda:0')
DEBUG:root:Epoch: 108 	 Loss: 1.6290323734283447 	 train acc: tensor([23.0159], device='cuda:0') 	 val acc: tensor([35.5841], device='cuda:0')
DEBUG:root:Epoch: 109 	 Loss: 1.6289290189743042 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([35.6913], device='cuda:0')
DEBUG:root:Epoch: 110 	 Loss: 1.624813199043274 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([35.7628], device='cuda:0')
DEBUG:root:Epoch: 111 	 Loss: 1.622112512588501 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([36.0129], device='cuda:0')
DEBUG:root:Epoch: 112 	 Loss: 1.6229697465896606 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([36.1558], device='cuda:0')
DEBUG:root:Epoch: 113 	 Loss: 1.6226897239685059 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.1558], device='cuda:0')
DEBUG:root:Epoch: 114 	 Loss: 1.6190109252929688 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([36.1915], device='cuda:0')
DEBUG:root:Epoch: 115 	 Loss: 1.6176890134811401 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([36.2272], device='cuda:0')
DEBUG:root:Epoch: 116 	 Loss: 1.6159720420837402 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.2630], device='cuda:0')
DEBUG:root:Epoch: 117 	 Loss: 1.6149076223373413 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.2630], device='cuda:0')
DEBUG:root:Epoch: 118 	 Loss: 1.6138287782669067 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.2630], device='cuda:0')
DEBUG:root:Epoch: 119 	 Loss: 1.6095350980758667 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([36.2630], device='cuda:0')
DEBUG:root:Epoch: 120 	 Loss: 1.6092222929000854 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([36.3344], device='cuda:0')
DEBUG:root:Epoch: 121 	 Loss: 1.6061444282531738 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.4059], device='cuda:0')
DEBUG:root:Epoch: 122 	 Loss: 1.6062097549438477 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([36.4059], device='cuda:0')
DEBUG:root:Epoch: 123 	 Loss: 1.6037989854812622 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.4059], device='cuda:0')
DEBUG:root:Epoch: 124 	 Loss: 1.6041014194488525 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.4416], device='cuda:0')
DEBUG:root:Epoch: 125 	 Loss: 1.6029369831085205 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([36.4416], device='cuda:0')
DEBUG:root:Epoch: 126 	 Loss: 1.603587031364441 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([36.4773], device='cuda:0')
DEBUG:root:Epoch: 127 	 Loss: 1.5988510847091675 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([36.5845], device='cuda:0')
DEBUG:root:Epoch: 128 	 Loss: 1.5967209339141846 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([36.6202], device='cuda:0')
DEBUG:root:Epoch: 129 	 Loss: 1.596629023551941 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.6559], device='cuda:0')
DEBUG:root:Epoch: 130 	 Loss: 1.592125415802002 	 train acc: tensor([23.0159], device='cuda:0') 	 val acc: tensor([36.6917], device='cuda:0')
DEBUG:root:Epoch: 131 	 Loss: 1.5931897163391113 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([36.6917], device='cuda:0')
DEBUG:root:Epoch: 132 	 Loss: 1.5947742462158203 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.7631], device='cuda:0')
DEBUG:root:Epoch: 133 	 Loss: 1.5901588201522827 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([36.8703], device='cuda:0')
DEBUG:root:Epoch: 134 	 Loss: 1.5913851261138916 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([36.8703], device='cuda:0')
DEBUG:root:Epoch: 135 	 Loss: 1.5871350765228271 	 train acc: tensor([24.6032], device='cuda:0') 	 val acc: tensor([36.8703], device='cuda:0')
DEBUG:root:Epoch: 136 	 Loss: 1.5848397016525269 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([37.0132], device='cuda:0')
DEBUG:root:Epoch: 137 	 Loss: 1.5843422412872314 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([36.9775], device='cuda:0')
DEBUG:root:Epoch: 138 	 Loss: 1.5836528539657593 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([37.0489], device='cuda:0')
DEBUG:root:Epoch: 139 	 Loss: 1.582124948501587 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([37.0132], device='cuda:0')
DEBUG:root:Epoch: 140 	 Loss: 1.5852895975112915 	 train acc: tensor([28.5714], device='cuda:0') 	 val acc: tensor([37.1204], device='cuda:0')
DEBUG:root:Epoch: 141 	 Loss: 1.5855629444122314 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([37.1919], device='cuda:0')
DEBUG:root:Epoch: 142 	 Loss: 1.5836228132247925 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([37.2990], device='cuda:0')
DEBUG:root:Epoch: 143 	 Loss: 1.5815420150756836 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([37.3348], device='cuda:0')
DEBUG:root:Epoch: 144 	 Loss: 1.577402114868164 	 train acc: tensor([28.5714], device='cuda:0') 	 val acc: tensor([37.4419], device='cuda:0')
DEBUG:root:Epoch: 145 	 Loss: 1.5818400382995605 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([37.4777], device='cuda:0')
DEBUG:root:Epoch: 146 	 Loss: 1.574199914932251 	 train acc: tensor([27.7778], device='cuda:0') 	 val acc: tensor([37.4419], device='cuda:0')
DEBUG:root:Epoch: 147 	 Loss: 1.5735996961593628 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([37.4419], device='cuda:0')
DEBUG:root:Epoch: 148 	 Loss: 1.572756290435791 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([37.5491], device='cuda:0')
DEBUG:root:Epoch: 149 	 Loss: 1.5727156400680542 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([37.6206], device='cuda:0')
DEBUG:root:Epoch: 150 	 Loss: 1.5740556716918945 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([37.6206], device='cuda:0')
DEBUG:root:Epoch: 151 	 Loss: 1.569748878479004 	 train acc: tensor([28.5714], device='cuda:0') 	 val acc: tensor([37.5491], device='cuda:0')
DEBUG:root:Epoch: 152 	 Loss: 1.568847417831421 	 train acc: tensor([27.7778], device='cuda:0') 	 val acc: tensor([37.5849], device='cuda:0')
DEBUG:root:Epoch: 153 	 Loss: 1.5689619779586792 	 train acc: tensor([27.7778], device='cuda:0') 	 val acc: tensor([37.5849], device='cuda:0')
DEBUG:root:Epoch: 154 	 Loss: 1.5677196979522705 	 train acc: tensor([27.7778], device='cuda:0') 	 val acc: tensor([37.6206], device='cuda:0')
DEBUG:root:Epoch: 155 	 Loss: 1.5702533721923828 	 train acc: tensor([27.7778], device='cuda:0') 	 val acc: tensor([37.6206], device='cuda:0')
DEBUG:root:Epoch: 156 	 Loss: 1.5669023990631104 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([37.6563], device='cuda:0')
DEBUG:root:Epoch: 157 	 Loss: 1.5700541734695435 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([37.6563], device='cuda:0')
DEBUG:root:Epoch: 158 	 Loss: 1.5671063661575317 	 train acc: tensor([27.7778], device='cuda:0') 	 val acc: tensor([37.7278], device='cuda:0')
DEBUG:root:Epoch: 159 	 Loss: 1.5665489435195923 	 train acc: tensor([27.7778], device='cuda:0') 	 val acc: tensor([37.7635], device='cuda:0')
DEBUG:root:Epoch: 160 	 Loss: 1.5630227327346802 	 train acc: tensor([28.5714], device='cuda:0') 	 val acc: tensor([37.7635], device='cuda:0')
DEBUG:root:Epoch: 161 	 Loss: 1.5657967329025269 	 train acc: tensor([30.1587], device='cuda:0') 	 val acc: tensor([37.7635], device='cuda:0')
