INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 96 Loss: 6.100474834442139 accuracy: tensor([78.9795], device='cuda:3')
DEBUG:root:Epoch: 97 Loss: 6.181542873382568 accuracy: tensor([74.1862], device='cuda:3')
DEBUG:root:Epoch: 98 Loss: 6.117578506469727 accuracy: tensor([81.8197], device='cuda:3')
DEBUG:root:Epoch: 99 Loss: 6.154067039489746 accuracy: tensor([77.8646], device='cuda:3')
DEBUG:root:Epoch: 100 Loss: 6.137170791625977 accuracy: tensor([80.8350], device='cuda:3')
DEBUG:root:Epoch: 101 Loss: 6.134332656860352 accuracy: tensor([80.1270], device='cuda:3')
DEBUG:root:Epoch: 102 Loss: 6.134295463562012 accuracy: tensor([77.7995], device='cuda:3')
DEBUG:root:Epoch: 103 Loss: 6.152701377868652 accuracy: tensor([79.3457], device='cuda:3')
DEBUG:root:Epoch: 104 Loss: 6.134672164916992 accuracy: tensor([81.2093], device='cuda:3')
DEBUG:root:Epoch: 105 Loss: 6.127363204956055 accuracy: tensor([78.1250], device='cuda:3')
DEBUG:root:Epoch: 106 Loss: 6.117466926574707 accuracy: tensor([82.0150], device='cuda:3')
DEBUG:root:Epoch: 107 Loss: 6.124566555023193 accuracy: tensor([83.0648], device='cuda:3')
DEBUG:root:Epoch: 108 Loss: 6.113773345947266 accuracy: tensor([83.4635], device='cuda:3')
DEBUG:root:Epoch: 109 Loss: 6.108597755432129 accuracy: tensor([82.9346], device='cuda:3')
DEBUG:root:Epoch: 110 Loss: 6.117861747741699 accuracy: tensor([81.9580], device='cuda:3')
DEBUG:root:Epoch: 111 Loss: 6.146974086761475 accuracy: tensor([75.9277], device='cuda:3')
DEBUG:root:Epoch: 112 Loss: 6.156402111053467 accuracy: tensor([77.2949], device='cuda:3')
DEBUG:root:Epoch: 113 Loss: 6.134502410888672 accuracy: tensor([80.3223], device='cuda:3')
DEBUG:root:Epoch: 114 Loss: 6.121319770812988 accuracy: tensor([79.7933], device='cuda:3')
DEBUG:root:Epoch: 115 Loss: 6.102364540100098 accuracy: tensor([85.0016], device='cuda:3')
DEBUG:root:Epoch: 116 Loss: 6.113276481628418 accuracy: tensor([81.1849], device='cuda:3')
DEBUG:root:Epoch: 117 Loss: 6.116189956665039 accuracy: tensor([81.8197], device='cuda:3')
DEBUG:root:Epoch: 118 Loss: 6.107748985290527 accuracy: tensor([83.7565], device='cuda:3')
DEBUG:root:Epoch: 119 Loss: 6.1048407554626465 accuracy: tensor([83.8298], device='cuda:3')
DEBUG:root:Epoch: 120 Loss: 6.1193742752075195 accuracy: tensor([83.3171], device='cuda:3')
DEBUG:root:Epoch: 121 Loss: 6.113375663757324 accuracy: tensor([83.0485], device='cuda:3')
DEBUG:root:Epoch: 122 Loss: 6.112934112548828 accuracy: tensor([83.6670], device='cuda:3')
DEBUG:root:Epoch: 123 Loss: 6.130507469177246 accuracy: tensor([80.6559], device='cuda:3')
DEBUG:root:Epoch: 124 Loss: 6.116822719573975 accuracy: tensor([82.1452], device='cuda:3')
DEBUG:root:Epoch: 125 Loss: 6.119231224060059 accuracy: tensor([81.8522], device='cuda:3')
DEBUG:root:Epoch: 126 Loss: 6.117208003997803 accuracy: tensor([81.1930], device='cuda:3')
DEBUG:root:Epoch: 127 Loss: 6.10421085357666 accuracy: tensor([80.4199], device='cuda:3')
DEBUG:root:Epoch: 128 Loss: 6.0838422775268555 accuracy: tensor([83.8949], device='cuda:3')
DEBUG:root:Epoch: 129 Loss: 6.1345415115356445 accuracy: tensor([81.4941], device='cuda:3')
DEBUG:root:Epoch: 130 Loss: 6.107678413391113 accuracy: tensor([81.8929], device='cuda:3')
DEBUG:root:Epoch: 131 Loss: 6.086328029632568 accuracy: tensor([85.7503], device='cuda:3')
DEBUG:root:Epoch: 132 Loss: 6.136919021606445 accuracy: tensor([78.1087], device='cuda:3')
DEBUG:root:Epoch: 133 Loss: 6.101626396179199 accuracy: tensor([81.1849], device='cuda:3')
DEBUG:root:Epoch: 134 Loss: 6.111581325531006 accuracy: tensor([83.7240], device='cuda:3')
DEBUG:root:Epoch: 135 Loss: 6.104040145874023 accuracy: tensor([82.2835], device='cuda:3')
DEBUG:root:Epoch: 136 Loss: 6.105827331542969 accuracy: tensor([82.2998], device='cuda:3')
DEBUG:root:Epoch: 137 Loss: 6.116235733032227 accuracy: tensor([82.6335], device='cuda:3')
DEBUG:root:Epoch: 138 Loss: 6.1009674072265625 accuracy: tensor([84.5703], device='cuda:3')
DEBUG:root:Epoch: 139 Loss: 6.090697288513184 accuracy: tensor([85.7992], device='cuda:3')
DEBUG:root:Epoch: 140 Loss: 6.105309963226318 accuracy: tensor([84.3831], device='cuda:3')
DEBUG:root:Epoch: 141 Loss: 6.09283447265625 accuracy: tensor([84.6273], device='cuda:3')
DEBUG:root:Epoch: 142 Loss: 6.105039596557617 accuracy: tensor([83.0241], device='cuda:3')
DEBUG:root:Epoch: 143 Loss: 6.107635021209717 accuracy: tensor([81.2419], device='cuda:3')
DEBUG:root:Epoch: 144 Loss: 6.101869106292725 accuracy: tensor([84.2041], device='cuda:3')
DEBUG:root:Epoch: 145 Loss: 6.104874610900879 accuracy: tensor([85.6445], device='cuda:3')
DEBUG:root:Epoch: 146 Loss: 6.114528656005859 accuracy: tensor([84.0658], device='cuda:3')
DEBUG:root:Epoch: 147 Loss: 6.113112926483154 accuracy: tensor([76.5300], device='cuda:3')
DEBUG:root:Epoch: 148 Loss: 6.127956390380859 accuracy: tensor([84.8877], device='cuda:3')
DEBUG:root:Epoch: 149 Loss: 6.077231407165527 accuracy: tensor([79.3050], device='cuda:3')
DEBUG:root:Epoch: 150 Loss: 6.088674545288086 accuracy: tensor([83.9518], device='cuda:3')
DEBUG:root:Epoch: 151 Loss: 6.1071624755859375 accuracy: tensor([82.4788], device='cuda:3')
DEBUG:root:Epoch: 152 Loss: 6.10881233215332 accuracy: tensor([80.6234], device='cuda:3')
DEBUG:root:Epoch: 153 Loss: 6.134328842163086 accuracy: tensor([81.8197], device='cuda:3')
DEBUG:root:Epoch: 154 Loss: 6.094740867614746 accuracy: tensor([84.1146], device='cuda:3')
DEBUG:root:Epoch: 155 Loss: 6.072951316833496 accuracy: tensor([83.8216], device='cuda:3')
DEBUG:root:Epoch: 156 Loss: 6.095797538757324 accuracy: tensor([81.3232], device='cuda:3')
DEBUG:root:Epoch: 157 Loss: 6.137446403503418 accuracy: tensor([80.8431], device='cuda:3')
DEBUG:root:Epoch: 158 Loss: 6.094851493835449 accuracy: tensor([80.8187], device='cuda:3')
DEBUG:root:Epoch: 159 Loss: 6.093379020690918 accuracy: tensor([82.7637], device='cuda:3')
DEBUG:root:Epoch: 160 Loss: 6.079812526702881 accuracy: tensor([83.5775], device='cuda:3')
DEBUG:root:Epoch: 161 Loss: 6.107678413391113 accuracy: tensor([81.4290], device='cuda:3')
DEBUG:root:Epoch: 162 Loss: 6.107532024383545 accuracy: tensor([80.8268], device='cuda:3')
DEBUG:root:Epoch: 163 Loss: 6.095073223114014 accuracy: tensor([85.0911], device='cuda:3')
DEBUG:root:Epoch: 164 Loss: 6.1055216789245605 accuracy: tensor([83.0241], device='cuda:3')
DEBUG:root:Epoch: 165 Loss: 6.092753887176514 accuracy: tensor([79.7526], device='cuda:3')
DEBUG:root:Epoch: 166 Loss: 6.087968826293945 accuracy: tensor([84.1471], device='cuda:3')
DEBUG:root:Epoch: 167 Loss: 6.100742340087891 accuracy: tensor([80.8024], device='cuda:3')
DEBUG:root:Epoch: 168 Loss: 6.0809478759765625 accuracy: tensor([75.9277], device='cuda:3')
DEBUG:root:Epoch: 169 Loss: 6.105623245239258 accuracy: tensor([81.4860], device='cuda:3')
DEBUG:root:Epoch: 170 Loss: 6.068377494812012 accuracy: tensor([82.0719], device='cuda:3')
DEBUG:root:Epoch: 171 Loss: 6.10302734375 accuracy: tensor([82.1045], device='cuda:3')
DEBUG:root:Epoch: 172 Loss: 6.101980209350586 accuracy: tensor([84.0902], device='cuda:3')
DEBUG:root:Epoch: 173 Loss: 6.100393295288086 accuracy: tensor([83.1706], device='cuda:3')
DEBUG:root:Epoch: 174 Loss: 6.108222007751465 accuracy: tensor([81.3477], device='cuda:3')
DEBUG:root:Epoch: 175 Loss: 6.089600563049316 accuracy: tensor([83.2031], device='cuda:3')
DEBUG:root:Epoch: 176 Loss: 6.08930778503418 accuracy: tensor([82.2021], device='cuda:3')
DEBUG:root:Epoch: 177 Loss: 6.115584850311279 accuracy: tensor([78.3936], device='cuda:3')
DEBUG:root:Epoch: 178 Loss: 6.134458541870117 accuracy: tensor([81.2907], device='cuda:3')
DEBUG:root:Epoch: 179 Loss: 6.151055812835693 accuracy: tensor([75.2279], device='cuda:3')
DEBUG:root:Epoch: 180 Loss: 6.103679656982422 accuracy: tensor([80.7536], device='cuda:3')
DEBUG:root:Epoch: 181 Loss: 6.1111273765563965 accuracy: tensor([80.7454], device='cuda:3')
DEBUG:root:Epoch: 182 Loss: 6.097193717956543 accuracy: tensor([80.8512], device='cuda:3')
DEBUG:root:Epoch: 183 Loss: 6.085265636444092 accuracy: tensor([84.4157], device='cuda:3')
DEBUG:root:Epoch: 184 Loss: 6.095369338989258 accuracy: tensor([84.2611], device='cuda:3')
DEBUG:root:Epoch: 185 Loss: 6.104951858520508 accuracy: tensor([82.4544], device='cuda:3')
DEBUG:root:Epoch: 186 Loss: 6.093794822692871 accuracy: tensor([81.6081], device='cuda:3')
DEBUG:root:Epoch: 187 Loss: 6.090077877044678 accuracy: tensor([85.3678], device='cuda:3')
DEBUG:root:Epoch: 188 Loss: 6.100036144256592 accuracy: tensor([82.7718], device='cuda:3')
DEBUG:root:Epoch: 189 Loss: 6.086175441741943 accuracy: tensor([82.5684], device='cuda:3')
DEBUG:root:Epoch: 190 Loss: 6.081002712249756 accuracy: tensor([86.8490], device='cuda:3')
DEBUG:root:Epoch: 191 Loss: 6.082406044006348 accuracy: tensor([82.3079], device='cuda:3')
DEBUG:root:Epoch: 192 Loss: 6.091876029968262 accuracy: tensor([85.9212], device='cuda:3')
DEBUG:root:Epoch: 193 Loss: 6.110480308532715 accuracy: tensor([79.6387], device='cuda:3')
DEBUG:root:Epoch: 194 Loss: 6.0790605545043945 accuracy: tensor([80.1107], device='cuda:3')
DEBUG:root:Epoch: 195 Loss: 6.089904308319092 accuracy: tensor([82.1289], device='cuda:3')
DEBUG:root:Epoch: 196 Loss: 6.079116344451904 accuracy: tensor([80.4199], device='cuda:3')
DEBUG:root:Epoch: 197 Loss: 6.045680522918701 accuracy: tensor([78.6947], device='cuda:3')
DEBUG:root:Epoch: 198 Loss: 6.09111213684082 accuracy: tensor([80.4850], device='cuda:3')
DEBUG:root:Epoch: 199 Loss: 6.101602554321289 accuracy: tensor([81.3314], device='cuda:3')
INFO:root:Training has finished.
INFO:root:Model of Epoch 190 checkpoint and metadata has been saved at ./runs/original/.
