INFO:root:Start CPC fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 72 Loss: 23.58072853088379 acc:  88.571/ 24.449 f1:  88.684/ 24.854
DEBUG:root:Epoch: 73 Loss: 23.57071304321289 acc:  88.571/ 24.248 f1:  88.511/ 24.641
DEBUG:root:Epoch: 74 Loss: 23.547929763793945 acc:  91.429/ 24.048 f1:  91.297/ 24.306
DEBUG:root:Epoch: 75 Loss: 23.516035079956055 acc:  91.429/ 24.449 f1:  91.297/ 24.608
DEBUG:root:Epoch: 76 Loss: 23.50633430480957 acc:  91.429/ 24.850 f1:  91.297/ 24.956
DEBUG:root:Epoch: 77 Loss: 23.52776527404785 acc:  94.286/ 25.251 f1:  94.312/ 25.389
DEBUG:root:Epoch: 78 Loss: 23.456735610961914 acc:  94.286/ 25.251 f1:  94.312/ 25.422
DEBUG:root:Epoch: 79 Loss: 23.44691276550293 acc:  94.286/ 25.451 f1:  94.250/ 25.601
DEBUG:root:Epoch: 80 Loss: 23.410642623901367 acc:  94.286/ 25.451 f1:  94.250/ 25.542
DEBUG:root:Epoch: 81 Loss: 23.43464469909668 acc:  94.286/ 25.451 f1:  94.250/ 25.625
DEBUG:root:Epoch: 82 Loss: 23.39337158203125 acc:  97.143/ 25.251 f1:  97.136/ 25.240
DEBUG:root:Epoch: 83 Loss: 23.36863899230957 acc:  97.143/ 25.451 f1:  97.136/ 25.410
DEBUG:root:Epoch: 84 Loss: 23.36687660217285 acc:  97.143/ 25.451 f1:  97.136/ 25.338
DEBUG:root:Epoch: 85 Loss: 23.354381561279297 acc:  97.143/ 25.852 f1:  97.136/ 25.559
DEBUG:root:Epoch: 86 Loss: 23.326261520385742 acc:  97.143/ 26.052 f1:  97.136/ 25.713
DEBUG:root:Epoch: 87 Loss: 23.318912506103516 acc:  97.143/ 25.852 f1:  97.136/ 25.287
DEBUG:root:Epoch: 88 Loss: 23.3113956451416 acc:  97.143/ 26.052 f1:  97.136/ 25.486
DEBUG:root:Epoch: 89 Loss: 23.278383255004883 acc:  97.143/ 26.052 f1:  97.136/ 25.477
DEBUG:root:Epoch: 90 Loss: 23.284557342529297 acc:  98.571/ 26.052 f1:  98.568/ 25.486
DEBUG:root:Epoch: 91 Loss: 23.274824142456055 acc:  98.571/ 26.052 f1:  98.568/ 25.356
DEBUG:root:Epoch: 92 Loss: 23.248865127563477 acc:  98.571/ 26.453 f1:  98.568/ 25.598
DEBUG:root:Epoch: 93 Loss: 23.229145050048828 acc:  98.571/ 26.854 f1:  98.568/ 25.951
DEBUG:root:Epoch: 94 Loss: 23.21041488647461 acc:  98.571/ 26.854 f1:  98.568/ 25.951
DEBUG:root:Epoch: 95 Loss: 23.20758819580078 acc:  98.571/ 27.054 f1:  98.568/ 26.139
DEBUG:root:Epoch: 96 Loss: 23.180566787719727 acc:  98.571/ 26.653 f1:  98.568/ 25.530
DEBUG:root:Epoch: 97 Loss: 23.160560607910156 acc:  98.571/ 26.653 f1:  98.568/ 25.530
DEBUG:root:Epoch: 98 Loss: 23.171932220458984 acc:  98.571/ 27.054 f1:  98.568/ 25.883
DEBUG:root:Epoch: 99 Loss: 23.154653549194336 acc:  98.571/ 27.054 f1:  98.568/ 25.866
DEBUG:root:Epoch: 100 Loss: 23.143354415893555 acc:  98.571/ 27.255 f1:  98.568/ 26.109
DEBUG:root:Epoch: 101 Loss: 23.13267707824707 acc:  98.571/ 27.655 f1:  98.568/ 26.521
DEBUG:root:Epoch: 102 Loss: 23.13319206237793 acc:  98.571/ 28.056 f1:  98.568/ 26.826
DEBUG:root:Epoch: 103 Loss: 23.119951248168945 acc:  100.000/ 28.056 f1:  100.000/ 26.803
DEBUG:root:Epoch: 104 Loss: 23.110462188720703 acc:  100.000/ 28.657 f1:  100.000/ 27.265
DEBUG:root:Epoch: 105 Loss: 23.073511123657227 acc:  100.000/ 28.457 f1:  100.000/ 26.890
DEBUG:root:Epoch: 106 Loss: 23.079578399658203 acc:  100.000/ 28.257 f1:  100.000/ 26.515
DEBUG:root:Epoch: 107 Loss: 23.072111129760742 acc:  100.000/ 28.657 f1:  100.000/ 26.842
DEBUG:root:Epoch: 108 Loss: 23.07039451599121 acc:  100.000/ 28.657 f1:  100.000/ 26.810
DEBUG:root:Epoch: 109 Loss: 23.03908920288086 acc:  100.000/ 28.858 f1:  100.000/ 26.733
DEBUG:root:Epoch: 110 Loss: 23.040302276611328 acc:  100.000/ 28.657 f1:  100.000/ 26.578
DEBUG:root:Epoch: 111 Loss: 23.014617919921875 acc:  100.000/ 28.457 f1:  100.000/ 26.422
DEBUG:root:Epoch: 112 Loss: 23.01766586303711 acc:  100.000/ 28.457 f1:  100.000/ 26.425
DEBUG:root:Epoch: 113 Loss: 23.021785736083984 acc:  100.000/ 28.657 f1:  100.000/ 26.603
DEBUG:root:Epoch: 114 Loss: 23.011699676513672 acc:  100.000/ 28.657 f1:  100.000/ 26.603
DEBUG:root:Epoch: 115 Loss: 22.979841232299805 acc:  100.000/ 28.457 f1:  100.000/ 26.435
DEBUG:root:Epoch: 116 Loss: 22.996591567993164 acc:  100.000/ 28.657 f1:  100.000/ 26.601
